区域,名称,景点id,类型,级别,热度,地址,特色,经纬度
安徽·黄山·黟县,南屏古镇,3038799109,古镇,4A景区,热度 0.72,安徽省黄山市黟县碧阳镇南屏村,走进乡村回归自然好去处,"117.910234,29.905838"
浙江·宁波·溪口景区,雪窦山,1102031209,古镇,,热度 0.74,浙江省宁波奉化市溪口镇武岭西路39-1号,"让心灵去远行,去雪窦山进行一场禅修之旅吧","121.290404,29.687924"
山东·淄博·周村区,周村古商城,3119814436,古镇,4A景区,热度 0.72,山东省淄博市周村区周村大街296号,周村古老的商业街,"117.848444,36.807"
浙江·嘉兴·嘉善县,西塘古镇,3942761498,古镇,5A景区,热度 0.8400000000000001,浙江省嘉兴市嘉善县西塘镇,水墨西塘让你感受古镇千年的诗情画意,"120.89521,30.945875"
江苏·苏州·金阊区,七里山塘,2086978906,古镇,4A景区,热度 0.74,江苏省苏州市金阊区广济路218号,弯月般的石桥，白墙灰瓦的古宅,"120.609739,31.322922"
江西·上饶·婺源县,婺源风景区,456786705,古镇,5A景区,热度 1.0,江西省上饶市婺源县文公北路,中国绝美乡村，开始你的文艺之旅,"117.861924,29.247904"
四川·成都·双流区,黄龙溪古镇,4184629452,古镇,4A景区,热度 0.7,四川省成都市双流县黄龙镇皇金路78号,十大水乡古镇之一,"103.977315,30.324457"
山东·滨州·惠民县,魏集古村落,1479339949,古镇,,热度 0.0,山东省滨州市惠民县魏集镇,厚重的文化资源，丰富的民间原生态文化,"117.764764,37.303931"
浙江·嘉兴·乌镇,乌镇东栅,1847125241,古镇,,热度 0.0,浙江省嘉兴桐乡市乌镇子夜路18号,有水乡美景，品文化底蕴,"120.503219,30.747083"
广西·桂林·阳朔县,阳朔,273058741,古镇,,热度 0.0,广西壮族自治区桂林市阳朔县,"“阳朔山水甲桂林”,古镇人家清幽静美","110.502714,24.784504"
江苏·苏州·吴中区,木渎古镇,3127571745,古镇,4A景区,热度 0.76,江苏省苏州市吴中区中山西路,与灵山相辅相成，展现园林古镇的魅力,"120.512729,31.260181"
云南·丽江·古城区,束河古镇,3277340884,古镇,,热度 0.0,云南省丽江市古城区束河古镇,来高峰之下的村寨束河，感受茶马古道,"100.211847,26.922349"
山东·威海·荣成市,西霞口,1963769077,古镇,4A景区,热度 0.76,山东省威海市荣成市环海公路,中国石画艺术，精美的中国山水画卷,"122.638932,37.417408"
浙江·金华·兰溪市,诸葛八卦村,3455566917,古镇,4A景区,热度 0.8,浙江省兰溪市兰溪偏西17公里诸葛八卦村,诸葛亮后裔聚居地,"119.307214,29.252718"
重庆·重庆·丰都县,丰都鬼城,613966419,古镇,4A景区,热度 0.74,重庆市丰都县名山镇名山路152号,鬼城寻鬼，阴朝地府走一遭,"107.731507,29.891926"
云南·丽江·古城区,丽江古城,1815236618,古镇,5A景区,热度 1.0,云南省丽江市玉龙纳西族自治县东大街1号,一座没有城墙的古城，依山傍水，风景秀丽,"100.240547,26.881159"
上海·上海·青浦区,朱家角古镇,2012753547,古镇,4A景区,热度 0.72,上海市青浦区朱家角镇美周路36号,素有“上海威尼斯”及“沪郊好莱坞”之誉,"121.061605,31.116917"
湖南·湘西·永顺县,王村芙蓉镇,3821446453,古镇,,热度 0.7,湘西土家族苗族自治州永顺县,醉人王村，夜色芙蓉初上浓妆,"109.95547,28.751383"
湖北·宜昌·三峡人家,巴王寨,3489849372,古镇,,热度 0.0,湖北省宜昌市夷陵区西陵峡三峡人家景区内,神秘的巴王寨,"111.170813,30.805766"
江西·南昌·安义县,安义古村,2250327153,古镇,3A景区,热度 0.7,江西省南昌市安义县石彼镇罗田村,千百年来，古村曾盛极一时，也曾盛极而衰,"115.612762,28.754027"
四川·广元·元坝区,昭化古城,2175277820,古镇,4A景区,热度 0.8800000000000001,四川省广元市元坝区昭化古城,一座保存完好的三国古城,"105.728116,32.341326"
安徽·宣城·泾县,查济古村,350617092,古镇,4A景区,热度 0.0,安徽省宣城市泾县桃花潭镇查济村,十里查村九里烟，三溪汇流万户间,"118.067257,30.55036"
安徽·黄山·歙县,徽州古城,2111320238,古镇,5A景区,热度 0.7,安徽省黄山市歙县古城东南部,歙县古城的街巷基本保持着明、清风貌,"118.442455,29.871875"
辽宁·葫芦岛·兴城市,兴城古城,60967305,古镇,4A景区,热度 0.8400000000000001,辽宁省葫芦岛市兴城市延辉街南端,五百年前留下来的一份珍贵的历史遗产,"120.718666,40.629181"
江西·景德镇·浮梁县,瑶里,3752083254,古镇,4A景区,热度 0.9800000000000001,江西省景德镇市浮梁县087县道瑶里风景区,比景德镇更老的瓷都,"117.588075,29.547307"
新疆·巴音郭楞·库尔勒市,罗布人村寨,1816191295,古镇,4A景区,热度 0.72,新疆库尔勒巴音西路林业局53号,涉沙海深处，看大漠风光，听驼铃遗韵,"86.121885,41.06401"
四川·成都·大邑县,安仁古镇,397599110,古镇,,热度 0.0,四川省成都市大邑县安仁镇,建筑风格中西结合，号称川西建筑文化精品,"103.62469,30.512966"
吉林·白山,讷殷古城,272492127,古镇,,热度 0.0,白山市抚松县长白山管委会池南区302省道右侧锦江大桥前1公里,全国仅存的女真部落森林古城。,"127.570299,41.983519"
湖北·荆州·荆州区,荆州古城,3552559956,古镇,4A景区,热度 1.0,湖北省荆州市荆州区张居正街2号,历史古城，风貌犹存，建筑壮观，异彩纷呈,"112.222609,30.354815"
安徽·池州·贵池区,杏花村,949232276,古镇,4A景区,热度 0.7,安徽省池州市贵池区杏花村大道108号,杏花自古艳池阳，美酒名花十里香,"117.477931,30.649788"
江苏·徐州·新沂市,窑湾古镇,2366331352,古镇,4A景区,热度 0.0,江苏省徐州新沂市窑湾镇,一座具有一千多年历史的水乡古镇,"118.079437,34.186649"
浙江·绍兴·绍兴县,安昌古镇,1734038046,古镇,3A景区,热度 0.82,浙江省绍兴市绍兴县,碧水贯街千万居，彩虹跨河十七桥,"120.502674,30.141843"
四川·宜宾·翠屏区,李庄古镇,194780309,古镇,4A景区,热度 0.72,四川省宜宾市翠屏区李庄镇文星街1号,中国文化的折射点，民族精神的涵养地,"104.808612,28.809049"
湖北·武汉·黄陂区,木兰清凉寨,2308364313,古镇,4A景区,热度 0.7,湖北省武汉市黄陂区蔡店乡,山依水活，水依山清，山水辉映，旅游胜境,"114.225206,31.298063"
安徽·黄山·徽州区,呈坎,4063128222,古镇,5A景区,热度 0.72,安徽省黄山市徽州区呈坎镇,集自然八卦和人文八卦相结合的千年古村,"118.293031,29.928992"
重庆·重庆·沙坪坝区,磁器口古镇,4154898069,古镇,4A景区,热度 0.8,重庆市沙坪坝区磁南街1号,古色古香，人文荟萃，风景优美,"106.458175,29.585837"
广西·桂林·阳朔县,兴坪古镇,253741351,古镇,3A景区,热度 0.78,广西省桂林市阳朔县兴坪镇景区,老街长长，古巷深深,"110.532904,24.922843"
湖南·岳阳·岳阳楼区,张谷英村,210963424,古镇,,热度 0.74,湖南省岳阳市岳阳县张谷英镇,村内保留有1700多座明清建筑,"113.490454,29.010263"
贵州·黔东南·麻江县,下司古镇,1769826475,古镇,,热度 0.7,贵州省黔东南苗族侗族自治州麻江县下司镇内,黔湘川水陆通衢，六百年清江风华,"107.81043161073,26.52156702558"
湖南·郴州·永兴县,板梁古村,875354982,古镇,3A景区,热度 0.0,湖南省郴州市永兴县高亭乡,奇石异村令人叫绝，乡村古风别有洞天,"112.873869,26.084327"
贵州·安顺·平坝县,天龙屯堡,3562452571,古镇,,热度 0.78,贵州省安顺市平坝县,历史上险峻的屯兵之所,"106.169488,26.357418"
浙江·宁波·象山县,石浦渔港古城,3374522537,古镇,4A景区,热度 0.72,浙江省宁波市象山县南部的石浦港畔,中国四大渔港之一，有“浙洋中路重镇”之称,"121.953183,29.215423"
山西·晋中·榆次区,榆次老城,2848569694,古镇,,热度 0.72,山西晋中市榆次府兴路（俞家街）,让时光倒流感受晋中古朴的历史人文,"112.757853,37.685556"
江苏·苏州·周庄,张厅,261092457,古镇,,热度 0.72,江苏省苏州市昆山市周庄,周庄镇仅存的少量明代建筑之一,"120.925574,31.751931"
广西·玉林·容县,容州古城,387631617,古镇,4A景区,热度 0.0,广西壮族自治区玉林市容县东外街,杨贵妃的故乡,"110.567084,22.861566"
江苏·无锡·锡山区,荡口古镇,1105862940,古镇,,热度 0.0,江苏省无锡市锡山区鹅湖镇蘅芳璐,素有“小苏州”的美称,"120.55571,31.532893"
江苏·苏州·吴中区,甪直古镇,2814514246,古镇,4A景区,热度 0.72,江苏省苏州市吴中区甪直古镇景区,神州水乡佼佼者,"120.878241,31.276029"
云南·红河·弥勒县,可邑小镇,3071575944,古镇,,热度 0.0,云南省红河哈尼族彝族自治州弥勒县城22公里（西三镇可邑村）,感受原汁原味的彝族生态文化,"103.373326,24.519569"
云南·大理·大理市,大理古城,3236514466,古镇,,热度 0.96,云南大理市下关,在静谧中悠远，美得不经意却那么沁人心脾,"100.170462,25.693527"
浙江·宁波·宁海县,前童古镇,2173017172,古镇,4A景区,热度 0.72,浙江省宁海县前童镇,浙东地区具有儒家文化古韵的小镇,"121.35732,29.229797"
浙江·绍兴·绍兴县,绍兴古城,2356098775,古镇,,热度 0.0,浙江省绍兴市绍兴县鲁迅中路241号,坐着乌篷船和新娘子一路“游”到婆家去,"120.593109,29.998241"
浙江·衢州·江山市,廿八都古镇,3205009673,古镇,5A景区,热度 1.0,浙江省衢州江山市廿八都古镇,可以看见明清古建筑民居的古镇,"118.492087,28.298816"
云南·保山·腾冲,和顺古镇,152700960,古镇,4A景区,热度 1.0,云南省腾冲县和顺镇,人杰地灵之地，全国闻名的侨乡,"98.461427,25.014828"
河北·张家口·涿鹿县,黄帝城,4149668055,古镇,4A景区,热度 0.74,河北省张家口市涿鹿县矾山镇水磨村西,历史悠久，出土文物众多，极具研究价值,"115.422161,40.227185"
江苏·苏州·昆山市,锦溪古镇,418396906,古镇,4A景区,热度 0.72,江苏省苏州昆山市锦溪镇文昌路,湖荡密布，古桥联袂，文人骚客荟翠之地,"120.905582,31.180834"
浙江·宁波·江北区,慈城古县城,949355381,古镇,,热度 0.72,浙江省宁波市江北区慈城镇东城沿路88号,山水相依，是“众星拱月”的宝地,"121.457134,29.989679"
山东·济宁·金乡县,羊山风景区,2827803979,古镇,4A景区,热度 0.0,山东省济宁市金乡县羊山镇,一山一水一古镇,"116.25358278415,35.17835494"
浙江·杭州·富阳市,龙门古镇,2170434762,古镇,4A景区,热度 0.7,浙江省杭州富阳市龙门镇牌楼龙门古镇内,千年迷魂镇，据传是三国孙权的故里,"119.956998,29.906072"
安徽·黄山·徽州区,唐模古村,3526312073,古镇,5A景区,热度 0.72,安徽省黄山市徽州区潜口镇唐模村唐模景区,泊在幽深岁月里的古村,"118.336253,29.875917"
广东·梅州·梅县,桥溪古韵,1007189139,古镇,,热度 0.0,广东省梅县雁洋镇长教村,广东省古村落,"116.375616,24.37905"
山东·潍坊·青州市,青州古城,1037078180,古镇,5A景区,热度 0.0,山东省潍坊市青州古城,历史悠久的明清府衙驻地,"118.485248,36.690079"
江苏·泰州·姜堰市,溱潼古镇,3268751051,古镇,4A景区,热度 0.86,江苏省泰州姜堰市鹿鸣西路溱潼镇,远离浮华，探寻千年古镇的神秘处,"120.104311,32.656733"
山东·济南·章丘市,朱家峪民俗旅游区,2513080905,古镇,4A景区,热度 0.7,山东省济南章丘市经十东路朱家峪村,“中国历史文化名村”,"117.598251,36.665029"
河北·邯郸·永年县,广府古城,4251179987,古镇,5A景区,热度 0.0,河北省邯郸市永年县广府镇,太极拳之乡，北国小江南,"114.732236,36.703348"
广东·广州·番禺,沙湾古镇,1904080836,古镇,,热度 0.0,广东省广州市番禹区沙湾大巷涌路10号沙湾古镇,一个有着800多年历史的岭南文化古镇,"113.340932,22.909438"
江苏·无锡·北塘区,惠山古镇,697217509,古镇,,热度 0.0,江苏无锡北塘区听松坊53-1号,京杭大运河孕育的古镇,"120.280064,31.586743"
湖南·长沙·宁乡县,关山古镇,477054720,古镇,4A景区,热度 0.0,长沙宁乡县金洲镇关山旅游社区,蓝脸的窦尔敦盗御马，红脸的关公战长沙,"112.685167,28.302537"
江西·上饶·婺源风景区,李坑,2306112419,古镇,4A景区,热度 0.86,江西省上饶市婺源县秋口镇李坑村,一幅小桥、流水、人家的美丽画卷,"117.936953,29.328547"
陕西·安康·石泉县,汉江燕翔洞生态旅游景区,22249569,古镇,4A景区,热度 0.0,陕西省安康市石泉县熨斗镇,历史悠久，素有“秦巴山水画廊”之美誉,"108.160561,32.800529"
山东·潍坊·青州市,井塘古村,142222851,古镇,,热度 0.0,山东省潍坊市青州市区西南15公里处王府街道办事处,历经500余年沧桑的明代建筑风貌古村落,"118.405473,36.60834"
陕西·汉中·宁强县,青木川古镇,453752089,古镇,,热度 0.0,陕西省汉中市宁强县的青木川镇,有大片原始森林和众多的珍贵野生动物,"105.58501,32.836984"
江苏·苏州·周庄,四季周庄,3090290082,古镇,,热度 0.0,江苏省苏州昆山市全功路375号,江南水乡人民与水和谐相处生活画卷的描绘,"120.852832,31.121099"
陕西·汉中·洋县,华阳古镇,2620374732,古镇,4A景区,热度 0.0,陕西省汉中市洋县华阳镇,昔日傥骆古道上繁华富庶的古驿站,"107.56913,33.575586"
福建·南平·武夷山市,下梅古村,381976207,古镇,,热度 0.72,福建省南平武夷山市下梅村后巷1号,集三雕艺术于一体的清代民居特色建筑群,"118.052719,27.673668"
广东·东莞·东莞市,南社明清古建筑群,1937996205,古镇,,热度 0.0,广东省东莞市茶山镇,流传下来的古建筑群尽显明清遗韵,"113.909952,23.073563"
湖南·长沙·望城县,靖港古镇,2868815686,古镇,4A景区,热度 0.0,湖南省长沙市望城区靖港镇,回味历史长河，体验千年古镇,"112.79129,28.46227"
重庆·重庆·酉阳县,龚滩古镇,3952465955,古镇,4A景区,热度 0.72,重庆酉阳县龚滩古镇207号,寻觅“世外桃源“，绝壁上的音符,"108.359376,28.913345"
浙江·嘉兴·海宁市,盐官观潮景区,3911355788,古镇,4A景区,热度 0.0,浙江省嘉兴海宁市盐官镇春熙路131号,天下奇观海宁潮的绝佳观赏地,"120.553255,30.40823"
河北·张家口·怀来县,鸡鸣驿古城,3107030394,古镇,,热度 0.8400000000000001,河北省张家口市怀来县城西30公里处,拥有一组蕴含着独特的魅力的古代建筑群,"115.323734,40.456204"
安徽·黄山·黟县,屏山村,2578540346,古镇,,热度 0.0,安徽省黄山市黟县屏山村,中国风水文化名村，小桥流水人家的风韵,"117.987148,29.945909"
广西·柳州·三江县,柳州三江县丹洲古镇景区,1287048627,古镇,4A景区,热度 0.0,广西柳州市三江县丹洲镇丹洲村,一座文化底蕴深厚的岛上古县城,"109.452275,25.378445"
江苏·苏州·昆山市,千灯古镇,3294650863,古镇,4A景区,热度 0.72,江苏省昆山市千灯镇秦峰路1788号（近秦峰中路）,著名的历史文化古镇，历史悠久,"121.009335,31.272657"
四川·广安·广安区,宝箴塞民俗文化村,2736387369,古镇,3A景区,热度 0.7,四川省广安市广安区武胜县农林乡方家沟村,被誉为“全国罕有，蜀中一绝”,"106.077937,30.355173"
广东·深圳·龙岗区,大鹏古城,3416085735,古镇,,热度 0.7,广东省深圳市龙岗区大鹏镇鹏城村,建筑规模宏伟，保存完好,"114.520059,22.600026"
江苏·苏州·吴中区,明湾古村,2842353691,古镇,,热度 0.7,江苏省苏州市吴中区西山镇明月湾村,特而完整的古村，具有明清传统风格,"120.281164,31.07269"
广西·桂林·阳朔县,兴坪渔村,3730038832,古镇,,热度 0.72,广西壮族自治区桂林市阳朔县兴坪码头,具有典型的明清暑期桂北民居特色,"110.52807,24.923515"
四川·绵阳·安县,罗浮山羌王城,2816511069,古镇,,热度 0.7,四川省绵阳市安县桑枣镇罗浮山风景区,是古羌族的军事城堡，更是旅游的新景点,"104.347274,31.594955"
浙江·金华·浦江县,浦江江南第一家,2226272963,古镇,4A景区,热度 0.0,浙江省金华市浦江县郑宝镇义门东路6号,历经宋、元、明十五世同居共食达330余年,"120.015443,29.491119"
山东·济宁,上九山古村,1052413681,古镇,,热度 0.0,山东省济宁市邹城石墙镇上九山村,罕见的石头村落,"116.883991,35.206363"
云南·西双版纳·勐海县,勐景来,3577248375,古镇,3A景区,热度 0.72,云南省西双版纳州勐海县达洛镇勐景来,勐景来是一个典型的傣族传统村寨,"100.05855,21.699909"
江苏·苏州·太湖西山岛,明月湾古村,1750979951,古镇,,热度 0.0,江苏省苏州市吴中区穹灵路,从石公山往西，不到三里地，就是一处风水绝佳地——明月湾。三面有靠山，太湖古码头面朝西南而卧，承风载雨的滋润，进退自如的闲,"120.314515,31.134916"
河北·张家口·暖泉古镇,暖泉室外打树花,3156386126,古镇,,热度 0.0,河北省张家口市蔚县暖泉古镇,打树花是一项古老技艺，其壮观绝不亚于烟花,"114.443769,39.804811"
四川·阿坝藏族羌族自治州·茂县,中国古羌城,2551755362,古镇,4A景区,热度 0.0,四川省阿坝藏族羌族自治州茂县凤仪镇,羌族文化活态展示，古蜀文明的重要发祥地,"103.844577,31.677731"
四川·成都·邛崃市,平乐古镇,1922601614,古镇,4A景区,热度 0.76,四川省成都邛崃市平乐镇,四川省十大古镇之一,"103.342668,30.350507"
安徽·宣城·旌德县,江村,2883017943,古镇,4A景区,热度 0.76,安徽省宣城市旌德县022乡道江村,皖南大地上一颗光彩夺目的明珠,"118.3963,30.21752"
江苏·苏州·吴中区,东山陆巷古村,2587273295,古镇,5A景区,热度 0.0,江苏省苏州市吴中区东山镇陆巷古村,依山面湖，景色佳绝，历史悠久，人杰地灵,"120.367021,31.081751"
四川·绵阳·寻龙山,寻龙山龙隐镇,536805971,古镇,,热度 0.0,四川绵阳北川羌族自治县寻龙山风景区,体现民国小镇生活风貌的古镇,"104.436739,31.629972"
上海·上海·金山区,枫泾古镇,1281236317,古镇,4A景区,热度 0.72,上海市金山区枫泾镇亭枫公路8588弄28号,历史悠久，水网遍布，河道纵横，引人注目,"121.023149,30.892415"
福建·龙岩·永定土楼群（福建客家土楼）,中川古村落,913981110,古镇,,热度 0.7,福建省龙岩市永定县下洋镇中川村,浑朴厚重，形柔神刚,"116.821461,24.596598"
广东·惠州·龙门县,香溪堡,3529869423,古镇,3A景区,热度 0.74,广东省惠州市龙门县龙华镇,神秘的古堡风情，秀丽的田园风光,"114.111512,23.594089"
四川·眉山·洪雅县,柳江古镇,207323220,古镇,,热度 0.86,四川省眉山市洪雅县,是四川十大古镇之一,"103.232125,29.719085"
河南·商丘·睢阳区,商丘古城,370741864,古镇,4A景区,热度 0.0,河南省商丘市睢阳区,商丘古城，又称归德府城，即原河南省商丘县城。建于明正德六年，距今已有近500年的历史。古城由砖城、城湖、城廓三部分构成。,"115.613772,34.379798"
广东·潮州·饶平县,绿岛旅游山庄,3773201277,古镇,4A景区,热度 0.7,广东省潮州市饶平区钱东镇万山红绿岛旅游山庄,集观光度假等于一体的综合性休闲度假胜地,"116.87859,23.701501"
江西·上饶·婺源风景区,江湾,37368675,古镇,5A景区,热度 0.9,江西省上饶市婺源县江湾镇,千年古镇江湾，钟灵毓秀，文风炽盛,"118.058037,29.373708"
山西·太原·阳曲县,青龙古镇,921548660,古镇,,热度 0.7,太原市阳曲县紧邻尖草坪区,犹如一条出水巨龙，腾空而起,"112.63700930554,38.027963103275"
山西·晋城·阳城县,郭峪村,3981437227,古镇,,热度 0.74,山西-晋城,文武兼备，巨商辈出，堪称传奇,"112.58532912698,35.51637351358"
浙江·绍兴·柯岩风景区,鲁镇,6220245,古镇,,热度 0.0,浙江省绍兴市绍兴县柯桥104国道旁,蕴含着旧时绍兴城镇的民俗风情、建筑风韵,"120.485974,30.050509"
浙江·嘉兴·盐官观潮景区,盐官古镇,2410738803,古镇,,热度 0.72,浙江省嘉兴市海宁市古邑路1号,历史悠久，民俗文化灿烂，民间传说动人,"120.549944,30.41246"
福建·龙岩·永定土楼群（福建客家土楼）,南溪土楼群,3154278069,古镇,5A景区,热度 1.0,福建省龙岩市永定县湖坑下南溪,一座没有大门的中国客家土楼博物馆,"116.911873,24.556302"
浙江·金华·武义县,郭洞古生态村,1740172247,古镇,3A景区,热度 0.78,浙江省金华市武义县郭洞村,集山川之秀，汇诡奇之景，古韵森然,"119.840628,28.82083"
广东·江门·鹤山市,古劳水乡,3894187599,古镇,,热度 0.72,广东省江门鹤山市古劳镇西江河畔,更有“东方威尼斯”之誉,"112.951113,22.820547"
安徽·黄山·黟县,关麓古村,983499325,古镇,3A景区,热度 0.7,安徽省黄山市黟县碧阳镇关麓村,神奇的连体古名居,"117.875771,29.902196"
浙江·台州·仙居,皤滩古镇,4280836842,古镇,,热度 0.72,浙江省台州市仙居县皤滩,夜观五月之景，千年铸就，骨色相和,"120.543053,28.747203"
江苏·镇江·句容市,千华古村,3647006910,古镇,,热度 0.0,江苏省句容市宝华镇杨柳泉路,民俗文化展演、中华美食节、特色年货大集,"119.094538,32.134968"
广东·江门·恩平市,恩平举人村,2081345034,古镇,,热度 0.74,广东省江门恩平市圣堂镇歇马村,在600多年的发展中培育了430多名举人,"112.379626,22.245679"
浙江·台州·临海市,桃渚城,4005614276,古镇,,热度 0.7,浙江省台州临海市桃渚镇城里村,集峰、洞、石、瀑、滩为一体,"121.548435,28.8317"
山东·淄博·淄川区,牛记庵养生度假村,2380527071,古镇,,热度 0.0,山东省淄博市淄川区昆仑镇牛记庵村,已有370余年历史的大山深处古村落,"117.814082,36.583404"
江西·上饶·婺源县,洪村,1743502321,古镇,,热度 0.0,江西省上饶市婺源县,廊亭阁楼古朴幽雅，小桥流水粉墙黛瓦,"117.720698,29.382072"
四川·成都·龙泉驿,洛带古镇,3007638726,古镇,4A景区,热度 0.74,四川省成都市龙泉驿区洛带镇,客家文化古镇，别忘了还有伤心凉粉哦,"104.328977,30.640483"
福建·漳州·十里蓝山,古山重景区,972373905,古镇,,热度 0.0,福建省漳州市长泰县马洋溪生态旅游区山重村,吃农家菜，住农家屋，尽享乡村野趣,"117.935022,24.680328"
浙江·杭州·千岛湖,千岛湖文渊狮城度假区（水下古城）,2033253636,古镇,,热度 0.0,浙江省杭州市淳安县千岛湖著名风情小镇姜家镇镇中心（千岛湖大桥往汾口方向）,国内千年古城非遗生活体验基地,"118.680693,29.480131"
福建·南平·邵武市,和平古镇,3590881706,古镇,4A景区,热度 0.72,福建省南平邵武市境内,"青砖琉瓦,雕梁画栋，有进有厅，气派非凡——明清时代中原地区屡见的豪华民宅如今已成稀世珍宝。然而，有一个地方依然存留了近2","117.309117,27.163703"
浙江·舟山·岱山县,东沙古镇,2256409649,古镇,,热度 0.0,浙江省舟山市岱山县东沙镇解放路23号,东沙独特的文化底蕴和人文内涵,"122.151613,30.319173"
西藏·拉萨·当雄县,羊八井镇,1757616235,古镇,,热度 0.0,西藏拉萨市当雄县境内,冬时，温泉里看漫天飞雪，浪漫惬意,"90.54588,30.101062"
安徽·宣城·绩溪县,仁里古村,313952015,古镇,,热度 0.0,安徽省宣城市绩溪县瀛洲镇仁里村仁里社区,典型徽州古村，依山傍水，文化积淀深厚,"118.383061,29.976176"
浙江·丽水·缙云县,河阳古民居,58077774,古镇,,热度 0.0,浙江省丽水市缙云县河阳村仙都风景区,山清水秀，民风古朴，罕见的古村落活化石,"120.015868,28.731471"
曼谷,古城七十二府,4063363678,古镇,,热度 0.0,296 1 หมู่ 7 ถนน สุขุมวิท ตำบล บางปูใหม่ อำเภอเมืองสมุทรปราการ สมุทรปราการ 10280泰国,古城76府，露天博物馆,"100.6208533,13.539215"
安徽·池州·仙寓山,富硒村,2165719300,古镇,,热度 0.0,安徽省池州市石台县珂田乡,远近闻名的长寿村、瘦子村，没有癌症的村,"117.386473,30.030586"
江西·吉安·青原区,美陂古村,770887252,古镇,4A景区,热度 0.0,江西省吉安市青原区文陂镇美陂村,建筑布局错落有致，山抱水环，天然形胜,"115.126971,26.943364"
湖南·常德·澧县,城头山遗址,3668250645,古镇,,热度 0.0,湖南省澧县车溪乡南岳村,在这发现距今6500多年的水稻田遗址,"111.667309,29.693949"
江苏·苏州·吴江区,震泽古镇,1282927983,古镇,4A景区,热度 0.0,江苏省苏州市吴江市震泽镇,一颗镶嵌在苏嘉湖平原上的璀璨明珠,"120.515956,30.918345"
安徽·宣城·旌德县,朱旺景区,1683161740,古镇,,热度 0.0,安徽省宣城市旌德县蔡家桥镇朱旺景区,典型的徽派建筑风格,"118.485274,30.347772"
贵州·黔东南·镇远县,镇远,2162616603,古镇,,热度 0.9199999999999999,贵州省黔东南苗族侗族自治州镇远县顺城路镇远,历史文化名城,"108.429895,27.055759"
山西·晋中·榆次区,后沟古村落,245065587,古镇,,热度 0.7,山西省晋中市榆次区东赵乡,北方农耕文明活态文化的完整画卷,"112.919302,37.761657"
上海·上海·嘉定区,南翔古镇,2961549446,古镇,4A景区,热度 0.0,上海市嘉定区南翔镇,千年古镇哪家强？上海嘉定有南翔,"121.31467,31.297407"
浙江·金华·武义县,俞源太极星象村,1964163806,古镇,,热度 0.72,浙江省金华市武义县俞源乡俞源村,文化底蕴深厚，布局奇异，古建筑群罕见,"119.670434,28.777592"
浙江·杭州·临安市,河桥古镇,447540597,古镇,,热度 0.0,浙江省杭州市临安市曙光村附近,河桥古镇，浙西的文化名片,"119.246814,30.106122"
广东·阳江·江城区,闸坡,2082612446,古镇,,热度 0.0,广东省阳江市海陵岛,一个以渔业为主的古镇，入夜异常热闹,"111.848297,21.574987"
山西·晋城·泽州县,大阳古镇,3673707204,古镇,,热度 0.0,山西省晋城市泽州县大东线,秦汉以来中国古城镇的活化石,"112.810553,35.671597"
广东·河源·龙川县,佗城,4086974745,古镇,,热度 0.0,广东省河源市龙川县佗城镇学宫旁,是岭南一个保存完整的古城,"115.199539,24.067091"
安徽·宣城·泾县,赤滩古镇,1155643476,古镇,3A景区,热度 0.0,安徽省宣城市泾县城北7.5公里琴溪河与青弋江交汇处,面江远眺，青山野渡，令人心旷神怡,"118.484615,30.730847"
安徽·合肥·肥西县,三河古镇,1710156506,古镇,5A景区,热度 0.9199999999999999,安徽省合肥市肥西县三河镇三杭路,典型的水乡古镇,"117.250617,31.522255"
浙江·湖州·南浔古镇,小莲庄,3150438015,古镇,,热度 0.78,浙江省湖州市南浔镇,南浔古镇的标志性景点,"120.43561186646,30.875546142595"
江西·上饶·婺源县,理坑,699199870,古镇,,热度 0.8,江西省上饶市婺源县沱川乡理坑村,古建筑粉墙黛瓦，雕刻精致，布局合理,"117.83572,29.53169"
福建·福州·永泰县,嵩口古镇,789461103,古镇,,热度 0.0,福建省福州市永泰县西南部,南宋著名词人张元干、道教宗师张圣君的故乡,"118.601174,25.806573"
陕西·西安·临潼区,秦始皇陵博物院（兵马俑）,3261940195,陵墓陵园,5A景区,热度 0.8800000000000001,陕西省西安市临潼县秦始皇陵东1.5公里处,世界第八大奇迹,"109.266029,34.386024"
陕西·延安·黄陵县,黄帝陵,3266042123,陵墓陵园,5A景区,热度 1.0,陕西省延安市黄陵县城北的桥山颠,中华始祖黄帝轩辕氏的陵墓,"109.280487,35.587062"
江苏·南京·钟山风景区,中山陵,1514814960,陵墓陵园,5A景区,热度 1.0,江苏省南京市玄武区石象路7号,建筑名家之杰作，有着极高的艺术价值,"118.860335,32.063934"
宁夏·银川·西夏区,西夏陵,2498362891,陵墓陵园,4A景区,热度 0.9800000000000001,宁夏回族自治区银川市西夏区贺兰山东麓,赏夏陵冬韵，探神秘古国,"105.867708,38.559179"
北京·北京·昌平区,明十三陵,2269763832,陵墓陵园,5A景区,热度 0.72,北京市昌平区十三陵特区,气势磅礴的陵寝建筑群,"116.234094,40.300017"
江苏·南京·钟山风景区,明孝陵,619880243,陵墓陵园,5A景区,热度 0.86,江苏省南京市玄武区紫金山南麓独龙阜玩珠峰下,朱元璋和马皇后合葬于此,"118.84258,32.056109"
